split,target,model,selection,threshold,n_total,no_abstention_accuracy,retained_coverage,retained_accuracy,abstention_rate,error_capture_rate,false_abstain_rate_on_correct,n_retained,n_errors_captured
parity,vote_correct,baseline:rank_gap,youden_J_train,0.669676,1849,0.1698,0.3732,0.4087,0.6268,0.7342,0.1019,690,1127
parity,vote_correct,baseline:support_breadth,youden_J_train,0.372125,1849,0.1698,0.6436,0.242,0.3564,0.4124,0.0828,1190,633
parity,vote_correct,baseline:manifold_support,youden_J_train,0.461316,1849,0.1698,0.384,0.3423,0.616,0.6958,0.2261,710,1068
parity,vote_correct,main:rank_gap+manifold_support,youden_J_train,0.213759,1849,0.1698,0.4218,0.3833,0.5782,0.6866,0.0478,780,1054
parity,vote_correct,diag:rank_gap+manifold_support+support^2,youden_J_train,0.222915,1849,0.1698,0.3997,0.387,0.6003,0.7049,0.0892,739,1082
parity,top1_correct,baseline:rank_gap,youden_J_train,0.670672,1849,0.133,0.3683,0.3598,0.6317,0.728,0.0041,681,1167
parity,top1_correct,baseline:support_breadth,youden_J_train,0.372125,1849,0.133,0.6436,0.1849,0.3564,0.3949,0.1057,1190,633
parity,top1_correct,baseline:manifold_support,youden_J_train,0.390088,1849,0.133,0.5446,0.2324,0.4554,0.5178,0.0488,1007,830
parity,top1_correct,main:rank_gap+manifold_support,youden_J_train,0.187668,1849,0.133,0.3694,0.3558,0.6306,0.7255,0.0122,683,1163
parity,top1_correct,diag:rank_gap+manifold_support+support^2,youden_J_train,0.182495,1849,0.133,0.3672,0.3373,0.6328,0.7193,0.0691,679,1153
contiguous,vote_correct,baseline:rank_gap,youden_J_train,0.649659,2311,0.1527,0.4202,0.344,0.5798,0.6747,0.0538,971,1321
contiguous,vote_correct,baseline:support_breadth,youden_J_train,0.416701,2311,0.1527,0.6746,0.2046,0.3254,0.3667,0.0963,1559,718
contiguous,vote_correct,baseline:manifold_support,youden_J_train,0.467921,2311,0.1527,0.3881,0.3066,0.6119,0.6823,0.221,897,1336
contiguous,vote_correct,main:rank_gap+manifold_support,youden_J_train,0.242091,2311,0.1527,0.4396,0.3366,0.5604,0.6558,0.0312,1016,1284
contiguous,vote_correct,diag:rank_gap+manifold_support+support^2,youden_J_train,0.147488,2311,0.1527,0.4859,0.3108,0.5141,0.6047,0.0113,1123,1184
contiguous,top1_correct,baseline:rank_gap,youden_J_train,0.672039,2311,0.1363,0.3756,0.3606,0.6244,0.7219,0.0063,868,1441
contiguous,top1_correct,baseline:support_breadth,youden_J_train,0.416701,2311,0.1363,0.6746,0.1802,0.3254,0.3597,0.1079,1559,718
contiguous,top1_correct,baseline:manifold_support,youden_J_train,0.403622,2311,0.1363,0.521,0.2359,0.479,0.5391,0.0984,1204,1076
contiguous,top1_correct,main:rank_gap+manifold_support,youden_J_train,0.164414,2311,0.1363,0.3804,0.3549,0.6196,0.7159,0.0095,879,1429
contiguous,top1_correct,diag:rank_gap+manifold_support+support^2,youden_J_train,0.132059,2311,0.1363,0.4089,0.3333,0.5911,0.6844,0.0,945,1366
