predictor,bin,n,pred_mean,pred_lo,pred_hi,emp_correct
top1_top2_margin,0,465,0.27462,0.191463,0.491013,0.849462
top1_top2_margin,1,465,0.146007,0.113035,0.191463,0.677419
top1_top2_margin,2,465,0.095534,0.079119,0.112987,0.802151
top1_top2_margin,3,465,0.064541,0.05224,0.079119,0.815054
top1_top2_margin,4,465,0.044749,0.03811,0.052197,0.870968
top1_top2_margin,5,465,0.033032,0.028558,0.03811,0.853763
top1_top2_margin,6,465,0.024221,0.019863,0.02852,0.892473
top1_top2_margin,7,465,0.016132,0.012346,0.019863,0.888172
top1_top2_margin,8,465,0.008759,0.004964,0.012339,0.892473
top1_top2_margin,9,465,0.002309,3.3e-05,0.004964,0.836559
vote_entropy,0,465,0.0,-0.0,-0.0,0.668817
vote_entropy,1,465,0.012959,-0.0,0.083099,0.716129
vote_entropy,2,465,0.336123,0.083573,0.574978,0.862366
vote_entropy,3,465,0.6953,0.574978,0.866363,0.784946
vote_entropy,4,465,1.029298,0.866624,1.198702,0.806452
vote_entropy,5,465,1.364199,1.198702,1.5121,0.810753
vote_entropy,6,465,1.642796,1.513052,1.793845,0.888172
vote_entropy,7,465,1.948062,1.793845,2.095467,0.948387
vote_entropy,8,465,2.264488,2.096484,2.467657,0.965591
vote_entropy,9,465,2.633717,2.467657,2.86856,0.926882
effective_support,0,465,1.0,1.0,1.0,0.668817
effective_support,1,465,1.013305,1.0,1.086649,0.716129
effective_support,2,465,1.41626,1.087164,1.777091,0.862366
effective_support,3,465,2.009812,1.777091,2.378245,0.784946
effective_support,4,465,2.808148,2.378865,3.315809,0.806452
effective_support,5,465,3.926167,3.315809,4.536245,0.810753
effective_support,6,465,5.188492,4.54057,6.012524,0.888172
effective_support,7,465,7.04391,6.012524,8.129237,0.948387
effective_support,8,465,9.68554,8.137511,11.794775,0.965591
effective_support,9,465,13.998787,11.794775,17.611645,0.926882
max_vote_weight,0,465,1.0,1.0,1.0,0.668817
max_vote_weight,1,465,0.998152,0.987414,1.0,0.716129
max_vote_weight,2,465,0.91816,0.832907,0.987258,0.903226
max_vote_weight,3,465,0.738716,0.647526,0.832907,0.791398
max_vote_weight,4,465,0.580084,0.526123,0.646154,0.832258
max_vote_weight,5,465,0.474473,0.425013,0.526123,0.836559
max_vote_weight,6,465,0.388662,0.350933,0.424615,0.845161
max_vote_weight,7,465,0.313521,0.277925,0.350933,0.926882
max_vote_weight,8,465,0.238606,0.204142,0.277691,0.944086
max_vote_weight,9,465,0.168247,0.106734,0.204142,0.913978
n_surviving_votes,0,465,1.0,1.0,1.0,0.668817
n_surviving_votes,1,465,1.335484,1.0,2.0,0.658065
n_surviving_votes,2,465,2.290323,2.0,3.0,0.772043
n_surviving_votes,3,465,3.507527,3.0,4.0,0.789247
n_surviving_votes,4,465,5.230108,4.0,6.0,0.782796
n_surviving_votes,5,465,7.217204,6.0,8.0,0.898925
n_surviving_votes,6,465,9.636559,8.0,11.0,0.926882
n_surviving_votes,7,465,13.021505,11.0,15.0,0.969892
n_surviving_votes,8,465,17.741935,15.0,20.0,0.950538
n_surviving_votes,9,465,20.0,20.0,20.0,0.96129
sim_floor_active,0,465,0.425986,0.425098,0.430915,0.662366
sim_floor_active,1,465,0.432472,0.430915,0.436662,0.686022
sim_floor_active,2,465,0.438787,0.436662,0.442309,0.739785
sim_floor_active,3,465,0.444848,0.442309,0.447826,0.789247
sim_floor_active,4,465,0.450667,0.447826,0.453175,0.815054
sim_floor_active,5,465,0.456222,0.453175,0.458308,0.877419
sim_floor_active,6,465,0.461583,0.458308,0.463173,0.926882
sim_floor_active,7,465,0.466641,0.463173,0.467729,0.946237
sim_floor_active,8,465,0.471283,0.467729,0.471956,0.963441
sim_floor_active,9,465,0.47555,0.471956,0.475843,0.972043
