predictor,concept,target,orientation,coverage,n_kept,accuracy,error_recall_abstained
top1_top2_margin,rank_gap,top1_correct,-1,1.0,4650,0.8378,0.0
top1_top2_margin,rank_gap,top1_correct,-1,0.9,4185,0.8366,0.0928
top1_top2_margin,rank_gap,top1_correct,-1,0.8,3720,0.8565,0.2918
top1_top2_margin,rank_gap,top1_correct,-1,0.7,3255,0.8642,0.4138
top1_top2_margin,rank_gap,top1_correct,-1,0.6,2790,0.8724,0.5279
top1_top2_margin,rank_gap,top1_correct,-1,0.5,2325,0.8727,0.6074
top1_top2_margin,rank_gap,top1_correct,-1,0.4,1860,0.8774,0.6976
top1_top2_margin,rank_gap,top1_correct,-1,0.3,1395,0.8724,0.7639
top1_top2_margin,rank_gap,top1_correct,-1,0.2,930,0.8645,0.8329
vote_entropy,support_dispersion,top1_correct,1,1.0,4650,0.8378,0.0
vote_entropy,support_dispersion,top1_correct,1,0.9,4185,0.8636,0.2427
vote_entropy,support_dispersion,top1_correct,1,0.8,3720,0.8742,0.3793
vote_entropy,support_dispersion,top1_correct,1,0.7,3255,0.8759,0.4642
vote_entropy,support_dispersion,top1_correct,1,0.6,2790,0.891,0.5968
vote_entropy,support_dispersion,top1_correct,1,0.5,2325,0.908,0.7162
vote_entropy,support_dispersion,top1_correct,1,0.4,1860,0.9323,0.8329
vote_entropy,support_dispersion,top1_correct,1,0.3,1395,0.947,0.9019
vote_entropy,support_dispersion,top1_correct,1,0.2,930,0.9462,0.9337
effective_support,manifold_support,top1_correct,1,1.0,4650,0.8378,0.0
effective_support,manifold_support,top1_correct,1,0.9,4185,0.8636,0.2427
effective_support,manifold_support,top1_correct,1,0.8,3720,0.8742,0.3793
effective_support,manifold_support,top1_correct,1,0.7,3255,0.8759,0.4642
effective_support,manifold_support,top1_correct,1,0.6,2790,0.891,0.5968
effective_support,manifold_support,top1_correct,1,0.5,2325,0.908,0.7162
effective_support,manifold_support,top1_correct,1,0.4,1860,0.9323,0.8329
effective_support,manifold_support,top1_correct,1,0.3,1395,0.947,0.9019
effective_support,manifold_support,top1_correct,1,0.2,930,0.9462,0.9337
max_vote_weight,peak_mass,top1_correct,-1,1.0,4650,0.8378,0.0
max_vote_weight,peak_mass,top1_correct,-1,0.9,4185,0.8636,0.2427
max_vote_weight,peak_mass,top1_correct,-1,0.8,3720,0.8742,0.3793
max_vote_weight,peak_mass,top1_correct,-1,0.7,3255,0.87,0.439
max_vote_weight,peak_mass,top1_correct,-1,0.6,2790,0.8832,0.5676
max_vote_weight,peak_mass,top1_correct,-1,0.5,2325,0.8933,0.6711
max_vote_weight,peak_mass,top1_correct,-1,0.4,1860,0.9075,0.7719
max_vote_weight,peak_mass,top1_correct,-1,0.3,1395,0.9283,0.8674
max_vote_weight,peak_mass,top1_correct,-1,0.2,930,0.929,0.9125
n_surviving_votes,support_breadth,top1_correct,1,1.0,4650,0.8378,0.0
n_surviving_votes,support_breadth,top1_correct,1,0.9,4185,0.8636,0.2427
n_surviving_votes,support_breadth,top1_correct,1,0.8,3720,0.8849,0.4324
n_surviving_votes,support_breadth,top1_correct,1,0.7,3255,0.9002,0.569
n_surviving_votes,support_breadth,top1_correct,1,0.6,2790,0.9197,0.7029
n_surviving_votes,support_breadth,top1_correct,1,0.5,2325,0.9458,0.8329
n_surviving_votes,support_breadth,top1_correct,1,0.4,1860,0.9527,0.8833
