window,decile,n,mean_n_surviving,emp_acc,mean_offclass_weight
mid,0,465,1.0,0.6688,0.3312
mid,1,465,1.34,0.6581,0.3395
mid,2,465,2.29,0.772,0.2124
mid,3,465,3.51,0.7892,0.1924
mid,4,465,5.23,0.7828,0.1937
mid,5,465,7.22,0.8989,0.0806
mid,6,465,9.64,0.9269,0.0667
mid,7,465,13.02,0.9699,0.0396
mid,8,465,17.74,0.9505,0.0403
mid,9,465,20.0,0.9613,0.0391
late,0,438,1.0,0.3653,0.6347
late,1,439,1.0,0.4351,0.5649
late,2,439,1.89,0.426,0.5831
late,3,439,2.68,0.4123,0.6062
late,4,439,4.17,0.4897,0.5441
late,5,439,5.97,0.5034,0.556
late,6,439,8.47,0.5444,0.5135
late,7,439,11.78,0.5171,0.5484
late,8,439,16.89,0.5763,0.481
late,9,439,20.0,0.4966,0.5406
