target,model,auc,separation,orientation
top1_correct,single:rank_gap,0.1492,0.3508,-1
top1_correct,single:support_dispersion,0.7692,0.2692,1
top1_correct,single:manifold_support,0.7692,0.2692,1
top1_correct,single:peak_mass,0.1853,0.3147,-1
top1_correct,single:support_breadth,0.7166,0.2166,1
top1_correct,single:floor_level,0.5723,0.0723,1
top1_correct,two-axis:rank_gap+manifold_support,0.8508,0.3508,
top1_correct,three:rank_gap+manifold_support+support_breadth,0.8553,0.3553,
vote_correct,single:rank_gap,0.1385,0.3615,-1
vote_correct,single:support_dispersion,0.8448,0.3448,1
vote_correct,single:manifold_support,0.8448,0.3448,1
vote_correct,single:peak_mass,0.1248,0.3752,-1
vote_correct,single:support_breadth,0.7897,0.2897,1
vote_correct,single:floor_level,0.5888,0.0888,1
vote_correct,two-axis:rank_gap+manifold_support,0.861,0.361,
vote_correct,three:rank_gap+manifold_support+support_breadth,0.8645,0.3645,
