split,target,model,selection,threshold,n_total,no_abstention_accuracy,retained_coverage,retained_accuracy,abstention_rate,error_capture_rate,false_abstain_rate_on_correct,n_retained,n_errors_captured
parity,vote_correct,baseline:rank_gap,youden_J_train,0.607168,2634,0.2942,0.5273,0.4867,0.4727,0.6165,0.1277,1389,1146
parity,vote_correct,baseline:support_breadth,youden_J_train,0.314065,2634,0.2942,0.7559,0.329,0.2441,0.2813,0.1548,1991,523
parity,vote_correct,baseline:manifold_support,youden_J_train,0.400858,2634,0.2942,0.5702,0.4374,0.4298,0.5455,0.1523,1502,1014
parity,vote_correct,main:rank_gap+manifold_support,youden_J_train,0.292748,2634,0.2942,0.5505,0.4834,0.4495,0.5971,0.0955,1450,1110
parity,vote_correct,diag:rank_gap+manifold_support+support^2,youden_J_train,0.301314,2634,0.2942,0.5368,0.4802,0.4632,0.6046,0.1239,1414,1124
parity,top1_correct,baseline:rank_gap,youden_J_train,0.608519,2634,0.1784,0.5209,0.3418,0.4791,0.5827,0.0021,1372,1261
parity,top1_correct,baseline:support_breadth,youden_J_train,0.182285,2634,0.1784,0.9062,0.191,0.0938,0.1077,0.0298,2387,233
parity,top1_correct,baseline:manifold_support,youden_J_train,0.541136,2634,0.1784,0.4131,0.2748,0.5869,0.6354,0.3638,1088,1375
parity,top1_correct,main:rank_gap+manifold_support,youden_J_train,0.16407,2634,0.1784,0.4958,0.343,0.5042,0.6035,0.0468,1306,1306
parity,top1_correct,diag:rank_gap+manifold_support+support^2,youden_J_train,0.143247,2634,0.1784,0.5258,0.3372,0.4742,0.5758,0.0064,1385,1246
contiguous,vote_correct,baseline:rank_gap,youden_J_train,0.601633,3311,0.2304,0.534,0.3891,0.466,0.5761,0.0983,1768,1468
contiguous,vote_correct,baseline:support_breadth,youden_J_train,0.434747,3311,0.2304,0.7828,0.255,0.2172,0.2422,0.1337,2592,617
contiguous,vote_correct,baseline:manifold_support,youden_J_train,0.425443,3311,0.2304,0.5974,0.3362,0.4026,0.4847,0.1284,1978,1235
contiguous,vote_correct,main:rank_gap+manifold_support,youden_J_train,0.440511,3311,0.2304,0.5853,0.3664,0.4147,0.5181,0.0695,1938,1320
contiguous,vote_correct,diag:rank_gap+manifold_support+support^2,youden_J_train,0.404686,3311,0.2304,0.5974,0.3584,0.4026,0.502,0.0708,1978,1279
contiguous,top1_correct,baseline:rank_gap,youden_J_train,0.609812,3311,0.1607,0.505,0.3062,0.495,0.5826,0.0376,1672,1619
contiguous,top1_correct,baseline:support_breadth,youden_J_train,0.2344,3311,0.1607,0.9182,0.1681,0.0818,0.09,0.0395,3040,250
contiguous,top1_correct,baseline:manifold_support,youden_J_train,0.449153,3311,0.1607,0.5772,0.2203,0.4228,0.4638,0.2086,1911,1289
contiguous,top1_correct,main:rank_gap+manifold_support,youden_J_train,0.176832,3311,0.1607,0.5116,0.3028,0.4884,0.575,0.0357,1694,1598
contiguous,top1_correct,diag:rank_gap+manifold_support+support^2,youden_J_train,0.174782,3311,0.1607,0.5116,0.3022,0.4884,0.5747,0.0376,1694,1597
