predictor,bin,n,pred_mean,pred_lo,pred_hi,emp_correct
top1_top2_margin,0,536,0.167754,0.103376,0.326757,0.61194
top1_top2_margin,1,536,0.082005,0.066359,0.102371,0.809701
top1_top2_margin,2,537,0.055476,0.046339,0.066191,0.858473
top1_top2_margin,3,536,0.040077,0.034613,0.046339,0.787313
top1_top2_margin,4,537,0.030002,0.025752,0.034613,0.824953
top1_top2_margin,5,536,0.02234,0.0191,0.025741,0.843284
top1_top2_margin,6,536,0.015812,0.013094,0.019082,0.817164
top1_top2_margin,7,537,0.010713,0.008213,0.013064,0.882682
top1_top2_margin,8,536,0.006038,0.004075,0.008213,0.869403
top1_top2_margin,9,537,0.001991,6.1e-05,0.004075,0.875233
vote_entropy,0,536,0.19883,-0.0,0.63291,0.675373
vote_entropy,1,536,0.898989,0.63398,1.096773,0.731343
vote_entropy,2,537,1.330567,1.097164,1.511975,0.746741
vote_entropy,3,536,1.671861,1.511975,1.803986,0.735075
vote_entropy,4,537,1.920279,1.803986,2.019916,0.851024
vote_entropy,5,536,2.107486,2.020013,2.187223,0.876866
vote_entropy,6,536,2.257334,2.187454,2.32015,0.914179
vote_entropy,7,537,2.403035,2.320377,2.478171,0.929236
vote_entropy,8,536,2.540265,2.478171,2.60013,0.873134
vote_entropy,9,537,2.702063,2.60013,2.883367,0.8473
effective_support,0,536,1.250682,1.0,1.883082,0.675373
effective_support,1,536,2.48748,1.885098,2.994488,0.731343
effective_support,2,537,3.807944,2.995658,4.535681,0.746741
effective_support,3,536,5.343917,4.535681,6.073807,0.735075
effective_support,4,537,6.837292,6.073807,7.537689,0.851024
effective_support,5,536,8.238072,7.538425,8.910439,0.876866
effective_support,6,536,9.564262,8.912495,10.177197,0.914179
effective_support,7,537,11.068771,10.179515,11.919442,0.929236
effective_support,8,536,12.690439,11.919442,13.465493,0.873134
effective_support,9,537,14.955714,13.465493,17.874348,0.8473
max_vote_weight,0,536,0.956885,0.846375,1.0,0.671642
max_vote_weight,1,536,0.678233,0.565268,0.843966,0.697761
max_vote_weight,2,537,0.501441,0.447782,0.565097,0.729981
max_vote_weight,3,536,0.411478,0.379601,0.447782,0.837687
max_vote_weight,4,537,0.346411,0.31421,0.379601,0.869646
max_vote_weight,5,536,0.293661,0.273857,0.314123,0.873134
max_vote_weight,6,536,0.255251,0.238881,0.273827,0.869403
max_vote_weight,7,537,0.222575,0.20659,0.238762,0.865922
max_vote_weight,8,536,0.193456,0.177719,0.20659,0.895522
max_vote_weight,9,537,0.151087,0.096461,0.177719,0.869646
n_surviving_votes,0,536,1.712687,1.0,3.0,0.692164
n_surviving_votes,1,536,4.007463,3.0,5.0,0.738806
n_surviving_votes,2,537,6.614525,5.0,8.0,0.77095
n_surviving_votes,3,536,9.078358,8.0,10.0,0.759328
n_surviving_votes,4,537,11.225326,10.0,12.0,0.826816
n_surviving_votes,5,536,13.802239,12.0,15.0,0.811567
n_surviving_votes,6,536,16.410448,15.0,18.0,0.886194
n_surviving_votes,7,537,18.573557,18.0,20.0,0.932961
n_surviving_votes,8,536,20.0,20.0,20.0,0.880597
n_surviving_votes,9,537,20.0,20.0,20.0,0.880819
sim_floor_active,0,536,0.395318,0.394978,0.399117,0.671642
sim_floor_active,1,536,0.399783,0.399117,0.403266,0.682836
sim_floor_active,2,537,0.404256,0.403266,0.407388,0.728119
sim_floor_active,3,536,0.408717,0.407388,0.411458,0.772388
sim_floor_active,4,537,0.413131,0.411458,0.415434,0.800745
sim_floor_active,5,536,0.417424,0.415434,0.419271,0.839552
sim_floor_active,6,536,0.421531,0.419271,0.422942,0.884328
sim_floor_active,7,537,0.425409,0.422942,0.426401,0.910615
sim_floor_active,8,536,0.429002,0.426401,0.429606,0.938433
sim_floor_active,9,537,0.432255,0.429606,0.432533,0.951583
