predictor,concept,target,orientation,coverage,n_kept,accuracy,error_recall_abstained
top1_top2_margin,rank_gap,top1_correct,-1,1.0,5364,0.818,0.0
top1_top2_margin,rank_gap,top1_correct,-1,0.9,4828,0.8409,0.2131
top1_top2_margin,rank_gap,top1_correct,-1,0.8,4291,0.8448,0.3176
top1_top2_margin,rank_gap,top1_correct,-1,0.7,3755,0.8429,0.3955
top1_top2_margin,rank_gap,top1_correct,-1,0.6,3218,0.8521,0.5123
top1_top2_margin,rank_gap,top1_correct,-1,0.5,2682,0.8576,0.6086
top1_top2_margin,rank_gap,top1_correct,-1,0.4,2146,0.8611,0.6947
top1_top2_margin,rank_gap,top1_correct,-1,0.3,1609,0.8757,0.7951
top1_top2_margin,rank_gap,top1_correct,-1,0.2,1073,0.8723,0.8596
vote_entropy,support_dispersion,top1_correct,1,1.0,5364,0.818,0.0
vote_entropy,support_dispersion,top1_correct,1,0.9,4828,0.8339,0.1783
vote_entropy,support_dispersion,top1_correct,1,0.8,4291,0.8469,0.3268
vote_entropy,support_dispersion,top1_correct,1,0.7,3755,0.861,0.4652
vote_entropy,support_dispersion,top1_correct,1,0.6,3218,0.8819,0.6107
vote_entropy,support_dispersion,top1_correct,1,0.5,2682,0.8881,0.6926
vote_entropy,support_dispersion,top1_correct,1,0.4,2146,0.891,0.7602
vote_entropy,support_dispersion,top1_correct,1,0.3,1609,0.8832,0.8074
vote_entropy,support_dispersion,top1_correct,1,0.2,1073,0.8602,0.8463
effective_support,manifold_support,top1_correct,1,1.0,5364,0.818,0.0
effective_support,manifold_support,top1_correct,1,0.9,4828,0.8339,0.1783
effective_support,manifold_support,top1_correct,1,0.8,4291,0.8469,0.3268
effective_support,manifold_support,top1_correct,1,0.7,3755,0.861,0.4652
effective_support,manifold_support,top1_correct,1,0.6,3218,0.8819,0.6107
effective_support,manifold_support,top1_correct,1,0.5,2682,0.8881,0.6926
effective_support,manifold_support,top1_correct,1,0.4,2146,0.891,0.7602
effective_support,manifold_support,top1_correct,1,0.3,1609,0.8832,0.8074
effective_support,manifold_support,top1_correct,1,0.2,1073,0.8602,0.8463
max_vote_weight,peak_mass,top1_correct,-1,1.0,5364,0.818,0.0
max_vote_weight,peak_mass,top1_correct,-1,0.9,4828,0.8343,0.1803
max_vote_weight,peak_mass,top1_correct,-1,0.8,4291,0.8515,0.3473
max_vote_weight,peak_mass,top1_correct,-1,0.7,3755,0.8687,0.4949
max_vote_weight,peak_mass,top1_correct,-1,0.6,3218,0.8738,0.584
max_vote_weight,peak_mass,top1_correct,-1,0.5,2682,0.8747,0.6557
max_vote_weight,peak_mass,top1_correct,-1,0.4,2146,0.8751,0.7254
max_vote_weight,peak_mass,top1_correct,-1,0.3,1609,0.8769,0.7971
max_vote_weight,peak_mass,top1_correct,-1,0.2,1073,0.8826,0.8709
n_surviving_votes,support_breadth,top1_correct,1,1.0,5364,0.818,0.0
n_surviving_votes,support_breadth,top1_correct,1,0.9,4828,0.8343,0.1803
n_surviving_votes,support_breadth,top1_correct,1,0.8,4291,0.8457,0.3217
n_surviving_votes,support_breadth,top1_correct,1,0.7,3755,0.8567,0.4488
n_surviving_votes,support_breadth,top1_correct,1,0.6,3218,0.8738,0.584
n_surviving_votes,support_breadth,top1_correct,1,0.5,2682,0.8822,0.6762
n_surviving_votes,support_breadth,top1_correct,1,0.4,2146,0.897,0.7736
n_surviving_votes,support_breadth,top1_correct,1,0.3,1609,0.8993,0.834
