window,decile,n,mean_n_surviving,emp_acc,mean_offclass_weight
mid,0,536,1.71,0.6922,0.2985
mid,1,536,4.01,0.7388,0.2439
mid,2,537,6.61,0.7709,0.2313
mid,3,536,9.08,0.7593,0.1941
mid,4,537,11.23,0.8268,0.1749
mid,5,536,13.8,0.8116,0.1757
mid,6,536,16.41,0.8862,0.1302
mid,7,537,18.57,0.933,0.0775
mid,8,536,20.0,0.8806,0.1656
mid,9,537,20.0,0.8808,0.1655
late,0,547,1.65,0.3419,0.6673
late,1,547,5.46,0.3857,0.5864
late,2,547,9.75,0.3985,0.5646
late,3,548,14.29,0.3796,0.5907
late,4,547,18.56,0.521,0.5123
late,5,547,20.0,0.4918,0.5689
late,6,548,20.0,0.3394,0.6778
late,7,547,20.0,0.5539,0.5085
late,8,547,20.0,0.4662,0.58
late,9,548,20.0,0.3212,0.6861
