epoch,contraction,rho_inband,var_inband,n_inband,rho_probe,var_probe,within_probe,margin_probe,offclass_weight,frac_blended,n_vote,chimera_onset,blend_onset,mean_v_eff
0,0.0,nan,nan,0,0.17664487659931183,0.003951703198254108,0.9719972610473633,0.7953523993492126,0.0,0.0,256,False,False,0.85
1,0.0285,0.17395438253879547,0.0037743782820347516,256,0.1740799844264984,0.003939367365092039,0.9721952676773071,0.7981152534484863,0.0,0.0,256,False,False,0.6806508302688599
2,0.0571,0.17231175303459167,0.003961349074073972,256,0.17029404640197754,0.0036628174129873514,0.9719163775444031,0.8016223907470703,0.0,0.0,256,False,False,0.6802148818969727
3,0.0856,0.16784070432186127,0.003776630172744211,256,0.16745249927043915,0.003691848600283265,0.9706965088844299,0.8032439947128296,0.0,0.0,256,False,False,0.6794564127922058
4,0.1142,0.16597028076648712,0.0035793722884542856,256,0.16756677627563477,0.003834189847111702,0.9683678150177002,0.8008010387420654,0.0,0.0,256,False,False,0.6796339750289917
5,0.1427,0.16318583488464355,0.003578449398844441,256,0.1643999218940735,0.0034793089143931866,0.9643730521202087,0.7999730706214905,0.0,0.0,256,False,False,0.6798030734062195
6,0.1713,0.1594027429819107,0.0035336410939412755,256,0.1599254608154297,0.003221271326765418,0.9600626826286316,0.8001372218132019,0.0,0.0,256,False,False,0.6802855134010315
7,0.1998,0.15674595534801483,0.003216978991302133,256,0.15595662593841553,0.003327049547806382,0.9525245428085327,0.7965678572654724,0.0,0.0,256,False,False,0.6812604665756226
8,0.2283,0.1544800102710724,0.0028072987806799787,256,0.15277183055877686,0.002875515026971698,0.9446565508842468,0.79188472032547,0.0,0.0,256,False,False,0.6832681894302368
9,0.2569,0.15024486184120178,0.0025303820719164705,256,0.1506378948688507,0.0027903448790311813,0.9348602294921875,0.7842222452163696,0.0,0.0,256,False,False,0.6853233575820923
10,0.2854,0.14704421162605286,0.0026053880304166555,256,0.1487623155117035,0.0025957238394767046,0.9232425093650818,0.7744802236557007,0.0,0.0,256,False,False,0.6879719495773315
11,0.314,0.14542041718959808,0.002405824796365641,256,0.14673741161823273,0.0025199558585882187,0.9081994295120239,0.7614620923995972,0.0,0.0,256,False,False,0.6919224262237549
12,0.3425,0.14133666455745697,0.0022910653481245102,256,0.14355160295963287,0.002232039114460349,0.8907206654548645,0.747169017791748,0.0,0.0,256,False,False,0.6959282159805298
13,0.3711,0.14241698384284973,0.0021315133140538123,256,0.14465513825416565,0.002098820172250271,0.8704404830932617,0.7257853746414185,0.0,0.0,256,False,False,0.7024224996566772
14,0.3996,0.14140267670154572,0.0018966720637771939,256,0.14607170224189758,0.0020540666300803423,0.845658540725708,0.699586808681488,0.0,0.0,256,False,False,0.7091936469078064
